fb1	ctr1
-0.0671158	-0.0502602
-0.0660439	-0.0502602
-0.067112	-0.0502602
-0.067112	-0.0502602
-0.0692444	-0.0502602
-0.0660477	-0.0502602
-0.0671158	-0.0502602
-0.067112	-0.0502602
-0.0681801	-0.0502602
-0.0671196	-0.0502602
-0.0681801	-0.0502602
-0.0671158	-0.0502602
-0.069252	-0.0502602
-0.0671196	-0.0502602
-0.0660515	-0.0502602
-0.0681839	-0.0502602
-0.0681839	-0.0502602
-0.0660591	-0.0502602
-0.0681877	-0.0502602
-0.0660591	-0.0502602
-0.0671196	-0.0502602
-0.0671196	-0.0502602
-0.0671196	-0.0502602
-0.0660553	-0.0502602
-0.0660553	-0.0502602
-0.0660515	-0.0502602
-0.0671158	-0.0502602
-0.0681801	-0.0502602
-0.0671196	-0.0502602
-0.0671158	-0.0502602
-0.0660515	-0.0502602
-0.0660515	-0.0502602
-0.0671196	-0.0502602
-0.0660553	-0.0502602
-0.0671196	-0.0502602
-0.0660553	-0.0502602
-0.0660553	-0.0502602
-0.0681801	-0.0502602
-0.0671158	-0.0502602
-0.0671158	-0.0502602
-0.0681801	-0.0502602
-0.0671158	-0.0502602
-0.0660515	-0.0502602
-0.0671158	-0.0502602
-0.0671158	-0.0502602
-0.0681801	-0.0502602
-0.0681801	-0.0502602
-0.0660515	-0.0502602
-0.0660515	-0.0502602
-0.0692482	-0.0502602
-0.0671196	-0.0502602
-0.0681801	-0.0502602
-0.0671158	-0.0502602
-0.0671158	-0.0502602
-0.0660515	-0.0502602
-0.0660477	-0.0502602
-0.0660477	-0.0502602
-0.0671158	-0.0502602
-0.0671196	-0.0502602
-0.0671158	-0.0502602
-0.0671158	-0.0502602
-0.0681801	-0.0502602
-0.0692482	-0.0502602
-0.0681839	-0.0502602
-0.0660477	-0.0502602
-0.0660439	-0.0502602
-0.0681763	-0.0502602
-0.067112	-0.0502602
-0.0660477	-0.0502602
-0.0660439	-0.0502602
-0.0681801	-0.0502602
-0.0681839	-0.0502602
-0.0671196	-0.0502602
-0.0649872	-0.0502602
-0.0681801	-0.0502602
-0.0692444	-0.0502602
-0.0671196	-0.0502602
-0.0692482	-0.0502602
-0.0671196	-0.0502602
-0.0649872	-0.0502602
-0.0660515	-0.0502602
-0.0692444	-0.0502602
-0.0639191	-0.0502602
-0.0660515	-0.0502602
-0.0660515	-0.0502602
-0.0681801	-0.0502602
-0.0681801	-0.0502602
-0.0671158	-0.0502602
-0.0671158	-0.0502602
-0.0692444	-0.0502602
-0.0671158	-0.0502602
-0.0660477	-0.0502602
-0.0671158	-0.0502602
-0.0660477	-0.0502602
-0.0649834	-0.0502602
-0.0681801	-0.0502602
-0.0681801	-0.0502602
-0.0649834	-0.0502602
-0.0660515	-0.0502602
-0.0660515	-0.0502602
-0.0671196	-0.0502602
-0.0660553	-0.0502602
-0.0681839	-0.0502602
-0.0671158	-0.0502602
-0.0671196	-0.0502602
-0.0671196	-0.0502602
-0.0681801	-0.0502602
-0.0681801	-0.0502602
-0.0660515	-0.0502602
-0.0660477	-0.0502602
-0.0671158	-0.0502602
-0.0671158	-0.0502602
-0.0660477	-0.0502602
-0.0671158	-0.0502602
-0.0681801	-0.0502602
-0.0671196	-0.0502602
-0.0660515	-0.0502602
-0.0660553	-0.0502602
-0.0671158	-0.0502602
-0.067112	-0.0502602
-0.0671158	-0.0502602
-0.0649834	-0.0502602
-0.0681801	-0.0502602
-0.0681801	-0.0502602
-0.0671158	-0.0502602
-0.0660477	-0.0502602
-0.0671158	-0.0502602
-0.0671158	-0.0502602
-0.0660515	-0.0502602
-0.0660477	-0.0502602
-0.0681801	-0.0502602
-0.0681801	-0.0502602
-0.0671196	-0.0502602
-0.0660477	-0.0502602
-0.0660439	-0.0502602
-0.0681801	-0.0502602
-0.067112	-0.0502602
-0.067112	-0.0502602
-0.067112	-0.0502602
-0.067112	-0.0502602
-0.0681801	-0.0502602
-0.0660477	-0.0502602
-0.0681801	-0.0502602
-0.0671158	-0.0502602
-0.0681801	-0.0502602
-0.0649834	-0.0502602
-0.0681839	-0.0502602
-0.0671158	-0.0502602
-0.0681801	-0.0502602
-0.0671158	-0.0502602
-0.0671158	-0.0502602
-0.0692444	-0.0502602
-0.0681839	-0.0502602
-0.0671196	-0.0502602
-0.0660553	-0.0502602
-0.0681839	-0.0502602
-0.064991	-0.0502602
-0.0681877	-0.0502602
-0.0671196	-0.0502602
-0.0660515	-0.0502602
-0.0671196	-0.0502602
-0.0692482	-0.0502602
-0.0660515	-0.0502602
-0.0660477	-0.0502602
-0.067112	-0.0502602
-0.0681801	-0.0502602
-0.0671158	-0.0502602
-0.0671158	-0.0502602
-0.0660515	-0.0502602
-0.0692444	-0.0502602
-0.0671196	-0.0502602
-0.0660515	-0.0502602
-0.0649834	-0.0502602
-0.0660515	-0.0502602
-0.0671196	-0.0502602
-0.0671158	-0.0502602
-0.0660515	-0.0502602
-0.0660553	-0.0502602
-0.0671196	-0.0502602
-0.0681839	-0.0502602
-0.0681839	-0.0502602
-0.0671196	-0.0502602
-0.0671234	-0.0502602
-0.0681877	-0.0502602
-0.064991	-0.0502602
-0.0660591	-0.0502602
-0.0671234	-0.0502602
-0.0671234	-0.0502602
-0.0660553	-0.0502602
-0.0681877	-0.0502602
-0.0671196	-0.0502602
-0.0681839	0
-0.0681877	0
-0.0671196	0.374763
-0.0681839	0.374763
-0.0447426	0.736249
-0.00213242	0.736249
0.064991	1.07165
0.151287	1.07165
0.261028	1.36909
0.372887	1.36909
0.482635	1.61803
0.613667	1.61803
0.724464	1.80965
0.834221	1.80965
0.96529	1.93717
1.075	1.93717
1.20815	1.99605
1.34026	1.99605
1.42659	1.98423
1.53629	1.98423
1.62587	1.90211
1.7122	1.90211
1.77818	1.75261
1.77929	1.75261
1.80162	1.54103
1.80153	1.54103
1.80051	1.27485
1.73454	1.27485
1.66951	0.963507
1.58104	0.963507
1.47134	0.618034
1.38184	0.618034
1.29655	0.250666
1.25175	0.250666
1.16335	-0.125581
1.07599	-0.125581
0.986507	-0.49738
0.878887	-0.49738
0.744656	-0.851559
0.611507	-0.851559
0.481533	-1.17557
0.304703	-1.17557
0.152348	-1.45794
-0.0458145	-1.45794
-0.178986	-1.68866
-0.354782	-1.68866
-0.483688	-1.85955
-0.662704	-1.85955
-0.770332	-1.96457
-0.924805	-1.96457
-1.05583	-2
-1.18794	-2
-1.29667	-1.96457
-1.40631	-1.96457
-1.51712	-1.85955
-1.58325	-1.85955
-1.6291	-1.68866
-1.64828	-1.68866
-1.6493	-1.45794
-1.65041	-1.45794
-1.6493	-1.17557
-1.60558	-1.17557
-1.53843	-0.851559
-1.45106	-0.851559
-1.36583	-0.49738
-1.25394	-0.49738
-1.14418	-0.125581
-1.03551	-0.125581
-0.944935	0.250666
-0.836311	0.250666
-0.703125	0.618034
-0.59338	0.618034
-0.486851	0.963507
-0.352619	0.963507
-0.198143	1.27485
-0.0458069	1.27485
0.107597	1.54103
0.2855	1.54103
0.416576	1.75261
0.547585	1.75261
0.656281	1.90211
0.812912	1.90211
0.943935	1.98423
1.05157	1.98423
1.18581	1.99605
1.31463	1.99605
1.40412	1.93717
1.51595	1.93717
1.58207	1.80965
1.66943	1.80965
1.71307	1.61803
1.75679	1.61803
1.80043	1.36909
1.80145	1.36909
1.80136	1.07165
1.75552	1.07165
1.69065	0.736249
1.58192	0.736249
1.49244	0.374763
1.36254	0.374763
1.27305	7.34764e-016
1.14101	7.34764e-016
1.03229	-0.374763
0.899147	-0.374763
0.788353	-0.736249
0.659462	-0.736249
0.548664	-1.07165
0.437885	-1.07165
0.283394	-1.36909
0.131039	-1.36909
-0.0447464	-1.61803
-0.220531	-1.61803
-0.419765	-1.80965
-0.550793	-1.80965
-0.680767	-1.93717
-0.793697	-1.93717
-0.924759	-1.99605
-1.01316	-1.99605
-1.01316	-1.98423
-1.14527	-1.98423
-1.27634	-1.90211
-1.38604	-1.90211
-1.4734	-1.75261
-1.53946	-1.75261
-1.60551	-1.54103
